project,repo,tag,digest,size
demopjt,demo-pjt-backend,back-ver3,sha256:c67e9ff27f764def8ad544a5b95ac9af0baab3c445493f719c902f94690d1791,66.15MB
demopjt,demo-pjt-backend,back-ver2,sha256:010bc6250482d834071176d66d160dca692a92225c9ae7dc6d82bb88c96910f3,66.15MB
demopjt,demo,front-only,sha256:89b10de4e30ecc89f90b19d4c8896c5dbccad69ee721e19af56992f4781c65ad,113.87MB
dev,keycloak,23,sha256:cc2418e4a0b7707eda2f2a3e562bf227675f92d3d6bd5ef52f051440c46a84cb,359.84MB
dev,keycloak,22,sha256:9c5d58b082794d0b8f3770ae267daef7dd47d0a9871a6d0463202ee137389317,359.84MB
dev,keycloak,21,sha256:b68858cb83f18edbe1061bb0062bb25057b7a270e251a2d81d346d103fecf0b8,291.40MB
dev,alpine,3.14.0,sha256:1775bebec23e1f3ce486989bfc9ff3c4e951690df84aa9f926497d82f2ffca9d,2.68MB
dev,tomcat-demo-3,latest,sha256:c835db761c94e070b5f6a0f06d6fc6f047047ee2c292d33ada98edc51eb403c1,66.71MB
dev,registry,2.7.0,sha256:d6df97c93a0b8db7b355e08d54fbf38e46667eaa251cd5a90ddf0e53c35375b1,8.71MB
dev,registry,2.8.1,sha256:11bb1b1a54493dc3626f4bd3cdd74f83e4e5157239ea607a70cbe634f50bb89c,8.78MB
dev,nginx-hello,blue,sha256:ece55020424d1c8499de1995ba3c3d44383c2daaadc91b26f7c4e5b07408a7eb,8.20MB
dev,busybox,stable,sha256:51de9138b0cc394c813df84f334d638499333cac22edd05d0300b2c9a2dc80dd,2.47MB
